user_name,create_date,episode,situation,category
Novie,2008/8/10,父の工場で初めて旋盤を見せてもらい、目を輝かせた,小学校2年の夏休み,家族
Novie,2010/10/22,工場の職人さんから「お前は手先が器用だな」と褒められた,父と工場へ,故郷
Novie,2012/6/3,野球部でレギュラーになれず、悔し涙を流した,中学1年の最初の試合,成長
Novie,2013/4/15,顧問にスコアラーの才能を見出され、データ集計を任された,中学2年春,成長
Novie,2014/7/28,スコアラーとして県大会出場に貢献、初めて役に立てたと実感,中学3年夏,成長
Novie,2015/10/10,高校文化祭で、目立たない裏方の同級生に光を当てる演出をした,高1の文化祭,人間関係
Novie,2016/9/12,文化祭委員長として、対立する派閥の間を取り持った,高2の準備期間,人間関係
Novie,2017/6/5,進路面談で「商学部か経営学部か」を担任と4時間話し合った,高3の春,学び
Novie,2018/4/2,上京して初めての一人暮らし、家具一式を父と組み立てた,大学入学時,家族
Novie,2018/5/15,大学の自己紹介で方言が出てしまい、皆に笑われた,入学直後のサークル,故郷
Novie,2019/7/20,ゼミで中小企業の社長にインタビューする機会を得た,ゼミ研修,学び
Novie,2019/11/8,父の工場のある町工場街を、フィールドワークで訪ねた,ゼミの研究で,故郷
Novie,2020/3/18,コロナで工場が窮地、休学を決意し東京の部屋を引き払った,パンデミック初期,家族
Novie,2020/4/5,実家の工場で、不慣れな手つきで部品の検品を手伝った,休学初日,家族
Novie,2020/6/22,職人の高齢化と後継者不足の現実を、肌で感じた,休学中の工場勤務,故郷
Novie,2020/8/15,工場の方々と一緒に、雇用調整助成金の申請書類を作った,コロナ禍,仕事
Novie,2020/10/30,父と工場の今後について、初めて本気で話し合った,休学中の夜,家族
Novie,2021/4/12,大学に復学し、ゼミ仲間に温かく迎えられて涙が出た,復学初日,人間関係
Novie,2021/9/25,就活で「中小企業に行きたい」と話したら担当者に心配された,就活面談,仕事
Novie,2022/2/20,卒論で町工場の事業承継について書き、学会で報告した,大学4年,学び
Novie,2022/4/1,新卒入社初日、配属が経営企画と聞いて緊張で眠れなかった,入社式翌日,仕事
Novie,2022/6/14,中期経営計画の資料作成で、徹夜が続いた,経営企画着任後,仕事
Novie,2022/9/8,役員会議で配布資料の差し替えミスをして青ざめた,配属5ヶ月目,成長
Novie,2022/11/17,上司から「お前の議事録は読みやすい」と初めて褒められた,経営企画,成長
Novie,2023/2/3,工場視察で、現場の方と昔の自分を重ね合わせた,現場視察,故郷
Novie,2023/4/3,DXチームに異動、初日から専門用語で頭が真っ白になった,異動初日,仕事
Novie,2023/7/19,営業の方に同行し、システム導入の苦労を聞いて回った,DXプロジェクト,仕事
Novie,2023/10/5,現場の意見を取り入れたシステム改修案が、初めて採用された,DXチーム,成長
Novie,2024/1/16,AIプロジェクトの社内講師を任され、しどろもどろになった,全社研修,成長
Novie,2024/4/22,上司にキャリア相談、コンサル転職の選択肢を提示された,1on1,成長
Novie,2024/7/30,同期と夏休みに沖縄旅行、海で日焼けして真っ赤になった,夏季休暇,日常
Novie,2024/9/14,健康診断で体重増を指摘され、ランニングを始めた,健康診断後,健康
Novie,2024/11/3,父が腰を痛め、実家に駆けつけた,11月の週末,家族
Novie,2025/1/20,転職活動を密かに始め、エージェントと初めて会った,年明け,仕事
Novie,2025/4/11,大手コンサル数社の面接を受け、自分の浅さを痛感した,転職活動中,成長
Novie,2025/6/30,コンサルファームから内定をもらい、嬉しさと不安が同居した,内定通知,仕事
Novie,2025/8/12,退職を決意し、上司に伝えるのに何度も練習した,退職交渉,仕事
Novie,2025/9/29,同期との送別会で、思いがけず涙が出た,退職時,人間関係
Novie,2025/10/2,コンサル入社初日、研修で同期の優秀さに圧倒された,転職初日,仕事
Novie,2025/11/18,初のプロジェクトで、議論に全くついていけなかった,入社1ヶ月,成長
Novie,2025/12/22,先輩に泣きついて、フレームワークの本を3冊借りた,入社2ヶ月,学び
Novie,2026/1/3,年末年始は実家で過ごし、母の手料理に癒された,正月休み,家族
Novie,2026/2/14,クライアントの現場担当者と意気投合し、ヒアリングが弾んだ,現場視察,仕事
Novie,2026/2/25,朝5時起きでジョギング、近所の海岸まで走った,体力づくり,健康
Novie,2026/3/12,プロジェクトで初めて自分の提案が採用された,クライアント会議,成長
Novie,2026/4/5,先輩の家に招かれ、奥さんの手料理をご馳走になった,週末,人間関係
Novie,2026/4/28,浜松の幼馴染と数年ぶりに飲み、お互いの近況を語り合った,GW前,故郷
Novie,2026/5/6,自宅近くの古本屋を見つけ、経営史の本を買い込んだ,5月の休日,趣味
Novie,2026/5/11,銭湯で隣の老人と将棋の話で盛り上がった,週末の銭湯,趣味
Novie,2026/5/17,父と電話で1時間以上話し、工場の話を聞いた,連休明け,家族
Kuroe,2006/4/8,父の転勤でボストン移住、英語が分からず教室の隅に座っていた,渡米直後,海外
Kuroe,2007/9/12,米国小学校で算数のテストで満点を取り、初めて注目された,小学校1年,学び
Kuroe,2008/12/20,クリスマスパーティーで興味なく一人だけ本を読んでいた,小学校行事,価値観
Kuroe,2010/6/15,父の同僚宅で、PEとM&Aの話を子供ながらに聞いていた,父の同僚宅,家族
Kuroe,2012/3/22,中学のグループワークで、皆を取り仕切って嫌われた,中学校,人間関係
Kuroe,2013/11/10,学校のmath competitionで州大会優勝を果たした,中学2年,学び
Kuroe,2015/5/18,高校で同級生のパーティー誘いを全て断り、噂になった,高校,人間関係
Kuroe,2016/9/3,父にFinancial Timesを読むよう勧められ、習慣化した,高校2年,家族
Kuroe,2017/4/14,高校でクラスメイトに「Ice Queen」とあだ名をつけられた,高校,人間関係
Kuroe,2017/12/15,Ivy LeagueのEarly Decisionで合格を勝ち取った,高校3年,学び
Kuroe,2018/9/6,大学入学初日、女子寮の歓迎パーティーを早々に退席した,大学入学時,価値観
Kuroe,2019/3/8,大学のグループ課題で、メンバーの怠惰さに激怒した,大学1年,学び
Kuroe,2019/10/24,ニューヨークの投資銀行で初めてのインターン面接を受けた,大学2年,仕事
Kuroe,2020/6/10,GSのサマーインターン中、徹夜でモデルを組み上げた,インターン中,仕事
Kuroe,2021/6/22,McKinseyのインターンで、シニアパートナーに名前を覚えられた,インターン中,仕事
Kuroe,2022/5/22,首席卒業を達成、卒業式には出席せず研修に参加した,大学卒業時,学び
Kuroe,2022/6/6,NY本社入社初日、配属希望を『Financial Services一択』と即答,入社時,仕事
Kuroe,2022/9/14,最初の案件で、徹夜3日でPEファンドの投資シナリオを構築した,入社3ヶ月,仕事
Kuroe,2022/12/8,米国でアパートを契約、家具は最低限のみ、料理しない方針,NY生活,日常
Kuroe,2023/2/16,香港・シンガポールのクロスボーダー案件にアサインされた,入社8ヶ月,海外
