create_date,media,tweet
2014/11/12,ブログ「南半球の風向き」,はじめました。名前はEight。祖父がタンゴのダンサーで、オチョ（8の字のステップ）から取りました。8を回すと∞になるのでそれをマークにします。
2015/6/3,ブログ「南半球の風向き」,広告収入が給料の半分を超えた。喜ぶべきなのか、会社に申し訳ないのか、判断がつかない。
2015/10/22,X,技術の話ばかり書いてきたけど、人の話を書きたくなってきた。たぶん向いてない。
2016/2/15,X,取材の帰り。録音聞き返したら自分の質問が全部誘導だった。恥ずかしくて電車で耳が熱い。
2016/9/9,X,質問を三つに減らしたら、相手が勝手に喋り出した。黙るのは技術。
2017/3/26,X,昨日、立ち飲みで隣になった人に「怒りが足りない」と言われた。二日経ってもまだ刺さってる。
2017/5/20,ブログ「南半球の風向き」,匿名で書き始めた。名前を出さないと決めた途端、書ける範囲が広がったのが不健全で面白い。
2018/1/27,X,署名記事が出た。実家の店のカウンターに置いたら黙って酒が出てきた。褒め言葉より効く。
2018/7/31,X,バレた。怒られると思ったら「うちのことは書くな」だけだった。怒られたほうが楽だったかもしれない。
2019/3/29,X,退職しました。六年。自分が止めた月次締めの話が語り草になってて笑った。
2019/4/16,X,肩書きを三日悩んでジャーナリストにした。名乗った瞬間から言い訳が効かなくなる。
2019/11/10,X,ダッカ。蛍光灯が一列切れてるだけで、その列の人の顔が見えない。設備の話が可視性の話になる。
2019/11/14,note,縫製工場の記事、値札の話から入ることにした。読者が自分の財布から入れる導線が要る。
2020/4/3,X,移動できない。取材も収入も止まった。電話しか残ってない。
2020/5/21,X,音声だけの取材、言い淀む前の呼吸が聞こえる。映像がないほうが分かることがあるとは思わなかった。
2020/8/2,X,家にいると自分の来歴ばかり思い出す。入院してた半年と似てる。
2021/6/18,X,（削除して書き直し）金の話で人を疑わない人間は、人の話を聞く仕事に向いてないのかもしれない。
2021/9/7,X,ナポリ。路地の上に洗濯物が渡してあって空が狭い。狭いのに息がしやすい。
2021/10/12,X,隣室の男が朝には取材先の番号を三つ持ってきた。理由を聞いたら「退屈してたから」。名前はマッテオ。
2022/1/24,X,パレルモの市場、値札がない。客の顔を見て値段が決まる。不透明＝不正、と即断できなくなってきた。
2022/5/24,X,昨日、宿の前で「次は無い」と言われた。怖いより、言い方が事務的だったことに驚いている。
2022/5/31,X,一週間経った。何も起きない。脅す側にもコストがあるんだな。
2022/11/8,note,結論の決まった原稿は書かない、とだけ決めている。決めているというより、書けない。
2023/2/13,X,三日拘束されて出てきた。謝罪はなし、荷物は全部揃ってた。丁寧なのに謝らないという状態がある。
2023/2/20,X,制度に間違われた人間は何もできない。知識として知ってたことを身体で知り直すのは、毎回きつい。
2023/6/5,X,アンダルシア。干上がった水路の底に自転車が沈んでる。水があった頃に捨てられたものが見える。
2023/9/18,X,サンパウロのギグワーカー、報酬額が数十秒で書き換わる。当人は「今日はアプリの機嫌が悪い」と言った。
2023/12/24,X,クリスマス。ひとり。イタリアにいれば誰かの家に呼ばれるのに、東京だと誰も呼んでくれない。
2024/1/30,X,ザアタリ。黒板に三言語。教える側が、どの言語で未来を想定するか決めかねてる。
2024/2/3,X,夢の欄が空白のノート。書けないことを責める大人が一人もいなかった。それだけで少し救われた。
2024/5/12,X,ヴェネツィア。住民は観光客の列を絶対に横切らない。必ず一本裏を歩く。同じ街に動線が二つある。
2024/8/15,X,年収の三分の一の仕事を断った。かっこよく書いたけど、単に取引先を一つ失っただけです。
2024/8/16,X,断ったあと、担当者が廊下で小声で「正しいと思います」と言ってきた。言えない人がいる場所の話。
2024/10/4,X,アクラ。煙の匂いが服から三日取れない。取材者は匂いを持ち帰れる。住んでる人は持ち帰れない。
2024/10/6,note,基板から銅を抜く少年の手つきが職人だった。搾取という言葉だけで書くと、この技術が記事から消える。
2024/12/31,X,今年もノートだけ増えて、答えは減った。減っていくほうが正しい気がしている。
2025/1/21,X,ブリュッセルの公聴会、傍聴席の前半分が空いてた。決まる場所に誰もいない。
2025/3/9,X,名刺を三種類使い分けるロビイストに会った。悪意ではなく職能だと本人は言う。反論できなかった。
2025/4/23,X,被災地の仮設商店街、閉まってる店の前だけ雪かきがされてる。誰かが毎朝やってる。統計には出ない。
2025/6/29,X,親父が倒れた。命に別状なし。握った手が、記憶よりずいぶん軽かった。
2025/7/16,X,店を閉めてる間、扉の前で立ち止まって帰る人を何人か見た。話す場所が消えると話は行き場をなくす。
2025/9/10,X,メコン。塩水の入った田んぼが、思ったより綺麗な色をしている。綺麗に撮れてしまうのが後ろめたい。
2025/9/13,X,農民のミンさんが、あと何年で使えなくなるか正確に暗算してた。当事者は自分の終わりの日付を知ってる。
2025/11/5,X,気候の会議のプレスルームで出た弁当が使い捨て容器。誰も指摘しない。矛盾は指摘されないから続く。
2025/12/2,X,昔取材した実習生が経営側に回ってた。同じ構造を今度は使う側で回してる。単純な被害者の話は続かない。
2026/1/17,X,ブエノスアイレス行き、三度目のキャンセル。祖父が踊ってた街なのに。行かない理由を毎回ちゃんと用意してる自分に気づいた。
2026/2/12,X,マッテオの母親に皿を四回おかわりさせられた。取材者として一番無防備になる瞬間はこういうとき。
2026/3/21,X,代々木公園で、二十年前の自分と同じ技をはるかに綺麗に決める若いのを見た。抜かれて不快じゃなかったのは初めて。
2026/6/30,X,本人が撤回した音源を消した。書けば確実に読まれた。消したことは誰にも褒められない。それでいい。
2026/7/23,X,二十年分の取材ノートを並べたら、初期のものほど字が大きかった。分かってるつもりの量と字の大きさは比例する。
