create_date,memo
2005/7/1,正確で迅速なアウトプットを出すこと
2005/10/15,地味な資料作成や分析も丁寧に積み重ねること
2006/2/3,分からないことはすぐに質問し、放置しないこと
2006/6/22,報連相を徹底し、チームワークを意識すること
2007/1/11,作業の目的や背景を常に意識すること
2008/4/7,課題には必ず自分なりの仮説を立ててから臨むこと
2008/11/19,情報を収集するだけでなく、示唆を引き出す訓練をすること
2009/3/28,プレゼンでは自信を持って話せるよう、準備に全力を注ぐこと
2009/10/12,上司の意図を先読みし、自走できるよう努めること
2010/5/5,後輩を教える中で自分の知識を言語化・体系化すること
2011/6/15,プロジェクトの目的・スコープ・リスクを明確にして進めること
2011/12/20,若手の育成に責任を持ち、コーチングを実践すること
2012/9/8,クライアント上層部と信頼関係を築くための対応力を磨くこと
2013/3/11,タフな局面でも冷静に意思決定できる習慣を身につけること
2014/1/24,個人で完結させず、チームで成果を出すことを意識すること
2015/4/2,専門性を磨き、社内外から一目置かれる存在を目指すこと
2016/7/19,ビジネス開拓の視点で提案・提携の機会を常に探すこと
2017/2/14,後進のキャリア支援・評価にも責任を持って関与すること
2018/5/29,組織や事業の採算意識を持ち、戦略的に動くこと
2019/10/3,自分が提供できる“価値”を常に自問自答すること
2020/6/18,経営者と対等に語れる視座と実績を持つこと
2021/9/25,プロジェクト単位でなく、会社全体のポートフォリオを俯瞰すること
2022/3/9,次世代の育成に責任を持ち、場をつくること
2023/7/30,専門性を越えて、ファーム全体のブランド価値を考えること
2024/4/4,短期成果と長期関係性の両立を常に意識して判断すること
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
