user_name,create_date,speaker,episode,situation,category
Novie,2014/7/30,中学野球部監督,選手を励ます力がある,県大会後,成長
Novie,2015/3/15,中学野球部キャプテン,スコアラーのおかげで勝てた試合,引退式,人間関係
Novie,2016/11/12,高校文化祭委員仲間,裏方仕事の天才だ,打ち上げ,人間関係
Novie,2017/2/8,高校時代の担任,お前は人の話を本当によく聞くな,進路相談,価値観
Novie,2018/6/3,大学サークルの先輩,リアクションが可愛い,サークル新歓,故郷
Novie,2019/10/20,ゼミの教授,君は中小企業の現場感覚が本物だ,ゼミ発表後,学び
Novie,2020/5/22,工場の古参職人,坊ちゃん、ようやく戻ってきたか,休学帰省時,家族
Novie,2020/7/15,父,お前がいてくれて本当に助かった,休学中の夜に工場の片隅で,家族
Novie,2020/9/3,母,あなたは無理しすぎる癖があるね,工場手伝い中,家族
Novie,2021/5/10,ゼミ仲間,戻ってきてゼミの雰囲気が変わった,復学後,人間関係
Novie,2021/12/18,就活OB訪問先の社員,現場の細かい工夫に目が行くんだね,OB訪問,仕事
Novie,2022/3/5,大学の親友,社会人になってもそのままでいてほしい,卒業旅行,人間関係
Novie,2022/5/16,経営企画部の上司,焦らなくていい、まずは現場を見てくれれば,入社1ヶ月,仕事
Novie,2022/8/22,同期,聞き上手だから、つい話しちゃう,同期飲み,人間関係
Novie,2022/10/14,経営企画部の先輩,君の議事録は丁寧で読みやすい,部内会議,仕事
Novie,2023/1/27,役員,君のような視点を持つ若手は貴重だ,経営会議後の廊下,仕事
Novie,2023/5/8,DXチームリーダー,分からないと言えるのは君の強みだぞ,異動直後,成長
Novie,2023/8/19,営業部の係長,現場の話をちゃんと聞いてくれる,営業同行後,仕事
Novie,2023/11/24,工場長,あんたのお父さんに育てられたのがよく分かる,工場視察,家族
Novie,2024/2/6,同期の女性,誰も置き去りにしないよね,同期会,人間関係
Novie,2024/4/30,上司,君は判断に時間がかかる,評価面談,成長
Novie,2024/6/15,部の後輩,質問しやすいから助かります,後輩との雑談,人間関係
Novie,2024/9/26,部長,現場の声がよく上がってくるようになった,部内会議,仕事
Novie,2024/12/19,外部コンサル,あなたのおかげでプロジェクトがより良く進みました,案件完了,仕事
Novie,2025/2/11,転職エージェント,あなたの謙虚さは武器になりますよ,転職相談,成長
Novie,2025/5/28,コンサルファーム面接官,素直さはあるが、それだけでは厳しい,最終面接,成長
Novie,2025/7/14,同期,寂しい,転職を伝えた時,人間関係
Novie,2025/9/30,退職時の上司,君ならどこに行っても誠実にやれる,退職日,成長
Novie,2025/10/8,コンサルの先輩,ここでは謙遜してると埋もれるぞ,入社1週目,仕事
Novie,2025/11/22,コンサルのマネージャー,君の現場感覚は僕らには真似できないが、それに意味があるのかは考えて欲しい,プロジェクト初期,仕事
Novie,2025/12/15,クライアント企業の課長,現場目線でありがたい,ヒアリング後,仕事
Novie,2026/1/12,コンサル同期,人を傷つけないよな,新年会,価値観
Novie,2026/2/4,母,最近、声に張りが出てきたわね,月一の電話,家族
Novie,2026/2/20,クライアントの部長,もう少し自信を持って結論を言ってくれ,報告会,成長
Novie,2026/3/6,コンサルのパートナー,君は遅咲きタイプだな。焦らずやると良い。,1on1,成長
Novie,2026/3/25,クライアントの現場社員,こんなに話を聞いてくれると思っていなかった,現場ヒアリング,仕事
Novie,2026/4/8,父,お前は工場の連中の気持ちが分かる人間だ,月一の電話,家族
Novie,2026/4/16,コンサルの同僚,銭湯通いとか地味すぎだろ,飲み会で,趣味
Novie,2026/4/24,先輩の妻,本当にいい青年ね,先輩宅で,人間関係
Novie,2026/5/2,中学野球部の同窓,お前、相変わらず謙虚すぎだろ,同窓会,故郷
Novie,2026/5/5,GWに会った幼馴染,東京に染まらなかったな,居酒屋で,故郷
Novie,2026/5/8,クライアントの新人,発言しやすかったです,WS終了後,人間関係
Novie,2026/5/11,銭湯の常連の老人,兄ちゃん、いい目をしてるな,銭湯にて,日常
