emp_id,speaker,create_date,feedback
emp001,上司,2006/8/12,この資料、よくここまでまとめたね。細部まで丁寧な仕事ぶりに安心して任せられるようになってきたよ。
emp001,上司,2006/10/3,細かいところは丁寧だけど、全体の構造が見えてないと感じることが多いよ。
emp001,同期,2006/11/10,いつもサポートしてくれてありがとう。分からないことをすぐに聞く姿勢、見習いたい。
emp001,クライアント担当者,2007/1/15,聞いたことをそのままやっているだけで、背景や目的を考えていない気がする。
emp001,クライアント担当者,2007/3/25,若いのにレスポンスが早くて助かってます。正直、今までのコンサルで一番やりやすいかもしれない。
emp001,上司,2007/6/15,分析も正確で、論点を押さえたアウトプットになってきた。もう一段上の視点を持てるようになると、さらに良くなる。
emp001,チームリーダー,2007/6/22,依頼事項の優先順位がつけられていないね。タスク管理の精度を上げていこう。
emp001,同僚,2008/2/1,忙しいのはわかるけど、ちょっとピリピリしすぎてて話しかけづらい時があるよ。
emp001,クライアント,2008/2/8,あの議事録、非常にわかりやすくて、全員で共有できた。助かりました。
emp001,上司,2008/3/12,手戻りが多いのは確認不足が原因かもしれない。自分のアウトプットに最後まで責任を持とう。
emp001,上司,2009/4/16,自分で仮説を立ててから動くクセがついていない。常に『なぜ？』を考えて。
emp001,上司,2009/5/20,最近、単なる作業者から提案型になってきたね。仮説の立て方も良くなってる。
emp001,チームリーダー,2009/9/3,若手をリードする姿勢が出てきたね。自分の意見を伝えながらも、周囲に配慮できてるのが良い。
emp001,クライアント課長,2009/12/7,分析は正確だけど、説明が難しすぎて現場に伝わらない。もっと噛み砕いてほしい。
emp001,後輩,2010/1/28,相談すると的確なアドバイスが返ってくるので、すごく安心感があります。
emp001,クライアント部長,2010/2/12,こちらの質問の意図を先読みして答えてくれる。もう若手というより、頼れる存在です。
emp001,後輩,2010/3/19,ちょっと指示が曖昧で、どう動けばいいのかわからなかった。
emp001,同期,2010/5/26,発言が強めのときがある。相手の立場にもう少し立てるといいと思う。
emp001,上司,2010/6/10,このクオリティを継続できれば、来年にはマネジャーとして引っ張っていけるよ。
emp001,上司,2010/9/30,クライアントに対してもう少し踏み込んで意見を言ってほしい。守りに入っている印象がある。
emp001,パートナー,2011/8/10,プロジェクトは回ってるけど、「考え抜いた」提案になっていない。ありきたりすぎる。
emp001,上司（パートナー）,2011/11/15,プロジェクトの全体設計がうまくなったね。リスク管理の精度が上がってきている。
emp001,クライアント本部長,2012/5/23,まとめ役としては良いが、視座が中間管理職止まり。経営の視点でもっと語ってほしい。
emp001,クライアント役員,2012/6/2,あなたが入ってからチームの動きが良くなりました。現場も信頼してるようです。
emp001,同僚マネジャー,2012/10/22,調整が難しい案件でも冷静に対処しててすごい。安心して隣で戦えます。
emp001,若手コンサルタント,2012/11/5,タスクだけが降ってきて、背景の説明がないと成長につながりません。
emp001,若手メンバー,2013/3/7,厳しい時も支えてくれて、本当に心強かったです。自分もああなりたいと思いました。
emp001,同僚マネジャー,2013/4/17,リスクを共有しないまま突き進んでたよね。チームとして戦う意識を持ってほしい。
emp001,上司（パートナー）,2013/10/8,自分でやった方が早いという姿勢が見える。チームを育てる覚悟が必要
emp001,上司,2013/12/18,マネジメントと成果、両方出せているのが素晴らしい。そろそろ部門横断的な視点も意識していこうか。
emp001,パートナー,2015/6/25,提案の勝率が高いよね。顧客の真の課題を掴めている証拠だと思う。
emp001,パートナー,2015/12/14,専門性に頼りすぎて、クロスボーダーな視点が弱い。横連携をもっと意識して。
emp001,クライアント執行役員,2016/4/3,あなたに相談すると本質的な助言がもらえる。社内でも評判です。
emp001,クライアント本部長,2016/8/21,現場とはうまくいってるが、経営層にはややアピールが弱い。もう一段ギアを上げて
emp001,若手マネジャー,2017/7/12,成長の壁を乗り越えるきっかけをくれたのは先輩の一言でした。ありがとうございます。
emp001,若手マネジャー,2017/10/3,気にかけてもらってるのはありがたいが、逆にプレッシャーを感じる時もあります。
emp001,クライアント,2018/1/8,話すと整理がつくんですよね。複雑な問題をシンプルにしてくれて助かります。
emp001,社内幹部,2018/3/30,社内の意思決定の場で発信が少ない。外向きだけではなく内向きの影響力も強化して
emp001,社内幹部,2019/3/21,自分の専門を超えて、組織全体の視点で動いているのがよく分かる。次はリーダーシップの横展開だね。
emp001,クライアント,2019/6/11,課題の洗い出しはよかったが、最終提案がやや抽象的だった。結論に踏み込みを
emp001,若手パートナー,2020/10/28,忙しさはわかりますが、もう少し現場にも顔を出してほしいという声が出ています。
emp001,シニアマネジャー,2020/11/30,言葉の重みが違います。状況判断や言動の一つひとつが、学びの宝庫です。
emp001,クライアントCEO,2021/4/5,あなたのような存在は、外部というより経営チームの一員と感じます。
emp001,社長クライアント,2021/7/19,あなたの提案はいつも正しい。でも、時に“耳障りが良すぎる”ように聞こえる。
emp001,経営メンバー,2022/4/8,決裁のスピード感がやや遅いと感じることがある。信頼されている分、期待も高いです。
emp001,若手パートナー候補,2022/6/17,自分の成長に合わせた支援をくださり、本当に尊敬しています。
emp001,後輩パートナー候補,2023/1/30,フィードバックは的確ですが、一方通行に感じることも。対話的な場もほしいです。
emp001,同僚パートナー,2023/8/14,あなたが後ろにいるだけで、提案の成功確率が上がる。信頼の積み上げですね。
emp001,社外講演の聴講者,2024/2/2,現場・経営・社会をつなぐ視点に感動しました。まさにプロフェッショナルですね。
emp001,社内パートナー会議,2024/5/22,戦略的視点は強いけれど、チームの情緒的ケアがやや薄いのではと意見が出ています。
emp002,チームコーチ,2010/4/18,最近、周囲の空気を読む力が高まってきているね。ファシリテーションの幅も広がってきたよ。
emp002,クライアントPM,2011/2/7,資料は十分に精緻だけれど、提案のストーリーがやや弱い。もっと“なぜそれをやるのか”が知りたい。
