create_date,theme,publisher,title,summary
2015/10/22,労働,ブログ「南半球の風向き」,名前のない働き手たち,日本の地方農業を支える外国人技能実習生について、制度の建前と現場の運用の差を初めて書いた記事。求人票に書かれた職種と実際の作業が乖離している事例を三件並べ、制度そのものの是非ではなく、誰がその差を埋めさせられているかに焦点を当てた。取材ではなく伝聞に頼った部分が多く、後年の自分から見ると詰めが甘い。それでも、技術の話しか書いてこなかった書き手が人の話に踏み込んだ最初の一本として残している。
2016/3/8,労働,ブログ「南半球の風向き」,沈黙の十秒,茨城の農園で技能実習生の受け入れ担当者に話を聞いた記録。答えにくい質問の後に生まれた十秒の沈黙を、あえて記事の中心に据えた。制度を批判する言葉より、答えられない人がそこにいるという事実のほうが読者に届くと考えた最初の試み。同時に、自分の質問が誘導になっていたことを本文中で認めており、取材者の未熟さを隠さない書き方をこの記事から始めている。
2016/11/14,情報環境,ブログ「南半球の風向き」,現場は紙で回っている,販売管理システムが導入済みの倉庫で、なぜ手書きの二重伝票が残るのかを掘った記事。担当者の「こっちのほうが速いから」という一言を出発点に、正しさと速さが一致しない業務現場の構造を描いた。IT業界にいた経験を活かした唯一の記事で、システムの失敗を技術ではなく人の動線の問題として書いた点が、後の取材姿勢の原型になっている。
2017/8/3,労働,ATLAS日本版,縫い目の値段,バングラデシュの縫製産業を扱った匿名寄稿の第一作。日本の売場に並ぶ商品の値札から逆算する形で構成し、読者が自分の買い物から入れる導線を作った。工場側の言い分と労働者の証言を並置し、どちらかを断罪する構成を避けている。匿名で書いたことで踏み込めた記述がある一方、責任の所在が曖昧になる書き方でもあり、署名記事に切り替える決断のきっかけになった。
2017/11/7,移民・難民,ATLAS日本版,送り出す側の駅,技能実習生の送り出し国側で、出発する若者を見送る駅の光景を書いた匿名寄稿。受け入れ国側の議論に偏りがちな報道に対し、出発の時点で何が期待されているかを描いた。取材期間が短く踏み込み不足だが、送り出し側から見る視点を初めて持った記事として位置づけている。
2018/1/26,移民・難民,ATLAS日本版,国境のない仕事、国境のある生活,初の署名記事。国境を越えて働く人々が、労働の場面では容易に移動できるのに、生活の場面では制度に縛られる非対称を追った。三カ国の事例を並べ、労働力としては歓迎され生活者としては歓迎されないという共通構造を抽出している。署名を出したことで取材先の反応が変わり、匿名時代より格段に話が聞けるようになった転換点でもあった。
2018/3/22,教育,ブログ「南半球の風向き」,三浪した人間が教育を書くとき,自身が三浪一留であることを明かした上で、教育をめぐる報道が成功者の視点に偏ることを論じたブログ記事。遅れることが不利益として語られる前提そのものを問い直した。商業媒体では書きにくい私的な内容をブログに残す使い分けを、この頃から意識するようになった。
2018/6/12,情報環境,Frontline Review,怒りの外注,SNS上の告発が拡散する過程で、当事者ではない人々の怒りが増幅装置として機能する現象を分析した。当事者が望まない形で問題が消費されるケースを三件追い、拡散が必ずしも救済につながらないことを示した。取材相手の一人から掲載前に撤回の申し出があり、その経緯も本文に明記している。書ける情報を書かない判断を初めて記事の中で説明した一本。
2018/11/29,教育,季刊SOIL,三つの言語で書かれた黒板,中東の難民キャンプ内学校を扱った記事の初期版。教える側が、子どもたちがどの国で大人になるかを想定できないまま教科を選んでいる状況を描いた。教育の議論が就学率という単一指標に還元されがちなことへの疑問を提示している。現地滞在が三日と短く、後年に再取材することになる。
2019/5/9,労働,ATLAS日本版,辞めた側から見た六年,独立直後に、自分が勤めていたシステム開発業界の労働環境を当事者として書いた異例の一本。守秘義務に触れない範囲で、納期と品質のどちらを削るかという判断が個人に降りてくる構造を記述した。自社を批判する記事ではなく、自分もその構造の一部だったという立場を明示している。業界内の反応は割れたが、書き手としての立ち位置を固める効果があった。
2019/8/14,公衆衛生,季刊SOIL,病室の天井から見えるもの,大学時代の半年の入院経験をもとに、動けない時間の主観を記述したエッセイ。回復とは何もしていない時間の別名であるという一文を軸に、医療報道が治療と成果に偏ることを指摘した。当事者経験を方法として使う書き方の出発点になった記事。
2019/12/20,労働,ATLAS日本版,一枚三十七秒,ダッカの縫製工場に一週間入った長編ルポ。作業者ラフィアが一枚を仕上げる時間を実演で示した場面を軸に、生産性の数字が人間の身体で構成されていることを描いた。蛍光灯が一列切れているために特定の作業者の顔が見えないという細部を、可視性の問題として提示している。自身の代表作として最も多く引用される記事。
2020/6/17,公衆衛生,Frontline Review,移動できない記者のノート,感染症で国境が閉じた期間に、電話とメッセージのみで取材した経験を方法論として書いた記事。相手の言い淀む前の呼吸が音声には残るという発見を軸に、現場に行かない取材で何が取れて何が取れないかを整理した。取材手法そのものを主題にした珍しい一本で、同業者からの反響が最も大きかった。
