title,category,eval,generate_date,search_text,text,url
今さら聞けないデジタル政策：まあまあ、及第点だな。及第点。俺がいない穴をよく埋,デジタル,N,2023/6/20,まあまあ、及第点だな。及第点。俺がいない穴をよく埋めた。よくやった木原。いやいや、連れてこれたらと思って超サプライズで。岸田総理。総理来る前に話してたわけ、これ総理来てさ「このあと空いてる？」とか聞いたら殺されるかなと。「良かったら、YouTube行きません」と言おうと思ったんだけどさ。「それは、平さん止めた方がいいよ」って言われそうですね。うん。でもね。ちょっと総理15分ぐらい遅れたのかな。帰り際に「総理ちょっとすいません。あの、私ここで失礼します。あの魚屋というあのYouTubeやんなきゃいけないんで」って言ったの。すると「魚屋さんによろしくね」って。いや、だから、SPが慌てるだろうけどな。いや、だから「偉い人連れてくれる」って言ったじゃない。,まあまあ、及第点だな。及第点。俺がいない穴をよく埋めた。よくやった木原。いやいや、連れてこれたらと思って超サプライズで。岸田総理。総理来る前に話してたわけ、これ総理来てさ「このあと空いてる？」とか聞いたら殺されるかなと。「良かったら、YouTube行きません」と言おうと思ったんだけどさ。「それは、平さん止めた方がいいよ」って言われそうですね。うん。でもね。ちょっと総理15分ぐらい遅れたのかな。帰り際に「総理ちょっとすいません。あの、私ここで失礼します。あの魚屋というあのYouTubeやんなきゃいけないんで」って言ったの。すると「魚屋さんによろしくね」って。いや、だから、SPが慌てるだろうけどな。いや、だから「偉い人連れてくれる」って言ったじゃない。,https://www.youtube.com/watch?v=LqGRN-so3aA
今さら聞けないデジタル政策：しかし、あれだね。ちょっと俺も髪切った方がいいな。,デジタル,N,2023/6/20,しかし、あれだね。ちょっと俺も髪切った方がいいな。そろそろな。こうやってやっぱり客観的にというかさ。,しかし、あれだね。ちょっと俺も髪切った方がいいな。そろそろな。こうやってやっぱり客観的にというかさ。,https://www.youtube.com/watch?v=LqGRN-so3aA
今さら聞けないデジタル政策：ごめんね。全然話違うけどさ。アニメでさ。「葬送のフ,デジタル,N,2023/6/20,ごめんね。全然話違うけどさ。アニメでさ。「葬送のフリーレン」。あのね、すごい今話題になってんだよ。これでさあ俺も号泣しちゃってさ。アニメでね。ちょっと待ってね。ここに書いてるんだけどさ、「葬送のフリーレン」。「そう」は葬式の葬ね。だから死者を送るフリーレンて、これは魔法使いなんだけどさ。号泣。号泣ですよ、葬送のフリーレン。俺びっくりした。俺ね、最初1話見たときは「なんだかな」と思ったわけ正直ね。でも、2話、3話、4話と進むに連れて。もう、あの漫画の可能性は無限だな。すごい。それで、俺ほら書いたかもしれないけど、丁度うちのお袋の一周忌をやったんだよね。昼間。それで昼間やって、それで夜仕事して、寝る間際に「葬送のフリーレン」見たわけですよね。ネフリでね。4話かな？5話かな？そしたら、はまっちゃってさあ、オールで見てさ。涙止まらなくなっちゃってさ、1人で見て。もう参ったよ。これ、なかなかですよ。これ、日本ならではだけどね。,ごめんね。全然話違うけどさ。アニメでさ。「葬送のフリーレン」。あのね、すごい今話題になってんだよ。これでさあ俺も号泣しちゃってさ。アニメでね。ちょっと待ってね。ここに書いてるんだけどさ、「葬送のフリーレン」。「そう」は葬式の葬ね。だから死者を送るフリーレンて、これは魔法使いなんだけどさ。号泣。号泣ですよ、葬送のフリーレン。俺びっくりした。俺ね、最初1話見たときは「なんだかな」と思ったわけ正直ね。でも、2話、3話、4話と進むに連れて。もう、あの漫画の可能性は無限だな。すごい。それで、俺ほら書いたかもしれないけど、丁度うちのお袋の一周忌をやったんだよね。昼間。それで昼間やって、それで夜仕事して、寝る間際に「葬送のフリーレン」見たわけですよね。ネフリでね。4話かな？5話かな？そしたら、はまっちゃってさあ、オールで見てさ。涙止まらなくなっちゃってさ、1人で見て。もう参ったよ。これ、なかなかですよ。これ、日本ならではだけどね。,https://www.youtube.com/watch?v=LqGRN-so3aA
今さら聞けないデジタル政策：びっくり。俺だって、先週～10日くらい前に高島さんの,デジタル,N,2023/6/20,びっくり。俺だって、先週～10日くらい前に高島さんの地元のね、大きなスーパーがあるんだけど、そこの式典で俺隣同士だったんだから。それで俺の後に高島さん挨拶したかな。相変わらずのあのでかい声でね。高島さんもほら、なんか「咳が抜けない」とか言ってて、ちょっと休んでた時期があったんだけど。ちょっと都連もいろいろ問題山積だからさ。そんな打ち合わせしながらね。一応私も三役なんで。まあでも「元気そうじゃない、声も出てるし」って言ったら、「いやあ、ちょっとね。咳は抜けないんだよね」って。その後、びっくりした。だから突然の訃報ですよ。いや、だから、朝、東京都議連から電話かかってきて「えーっ」って。だから、多分皆さんそうだと思うし。やっぱり。すごい何か強いイメージがあるよね、高島さんってさ。本当にガタイも良いし、声もデカいし。いや、だから、本当にびっくりしました。だって、ここも出てくれたでしょ、高島さんね。まあ、だから都連大変だよな、要を失う感じでね。いや、いないってことはないんだろうけど、それはだってその前内田さんだもん。内田-高島っていう大物っちゅうか強力な政治家だよ。強い政治家がいたから、それに代わる人はいないよね。だからって、人選いないわけじゃないんで。俺、明日明後日朝から晩まで都連行って、政調会長としての仕事があって、いろいろ自民党を応援してくれるいろんな団体があるじゃない。それのね、要望を聞くんですよ。だから、もう朝から晩まで俺都連なんで。そこは政調なんで、すごいでしょ、これ。これ全部私がお話伺いますよ。だから、すごい仕事してんだけど。それはまあ置いておいて、都連に行くからどっかで萩生田さんも顔出すだろうから都連会長だからね。まあでもいろいろやんなきゃいけないことあるよね。,びっくり。俺だって、先週～10日くらい前に高島さんの地元のね、大きなスーパーがあるんだけど、そこの式典で俺隣同士だったんだから。それで俺の後に高島さん挨拶したかな。相変わらずのあのでかい声でね。高島さんもほら、なんか「咳が抜けない」とか言ってて、ちょっと休んでた時期があったんだけど。ちょっと都連もいろいろ問題山積だからさ。そんな打ち合わせしながらね。一応私も三役なんで。まあでも「元気そうじゃない、声も出てるし」って言ったら、「いやあ、ちょっとね。咳は抜けないんだよね」って。その後、びっくりした。だから突然の訃報ですよ。いや、だから、朝、東京都議連から電話かかってきて「えーっ」って。だから、多分皆さんそうだと思うし。やっぱり。すごい何か強いイメージがあるよね、高島さんってさ。本当にガタイも良いし、声もデカいし。いや、だから、本当にびっくりしました。だって、ここも出てくれたでしょ、高島さんね。まあ、だから都連大変だよな、要を失う感じでね。いや、いないってことはないんだろうけど、それはだってその前内田さんだもん。内田-高島っていう大物っちゅうか強力な政治家だよ。強い政治家がいたから、それに代わる人はいないよね。だからって、人選いないわけじゃないんで。俺、明日明後日朝から晩まで都連行って、政調会長としての仕事があって、いろいろ自民党を応援してくれるいろんな団体があるじゃない。それのね、要望を聞くんですよ。だから、もう朝から晩まで俺都連なんで。そこは政調なんで、すごいでしょ、これ。これ全部私がお話伺いますよ。だから、すごい仕事してんだけど。それはまあ置いておいて、都連に行くからどっかで萩生田さんも顔出すだろうから都連会長だからね。まあでもいろいろやんなきゃいけないことあるよね。,https://www.youtube.com/watch?v=LqGRN-so3aA
今さら聞けないデジタル政策：いやだからさ、なんかおふくろの一周忌があってさ、な,デジタル,N,2023/6/20,いやだからさ、なんかおふくろの一周忌があってさ、なんかアニメ見てさ、なんかシクシクじゃない、ワンワン泣いててさ。次の日の朝、高島さんの訃報が入って。次の日の朝なんですよ。月曜日の朝、びっくりしたよね。俺前言ったかもしれないけどさ。やっぱり政治家っていうのはさ。政治家とか、あと芸事をやってる人もそうかもしれないけど。親の死に目に会えないっていうじゃない？例えば、俺たちだって選挙やってたりさ、国会があったりさ、例えば政府に入ってて公務だったりしたらさ、会えないじゃない。でも俺はおかげさまで、紙の神様の思し召しかわかんないけど、その亡くなる48時間ずっと一緒にいれたわけですよ病院に。本当にさ、これはありがたい話で。ほとんど親孝行できてないんだけども、最後の48時間は一緒に、なんていうのかな、寄り添って見送ることできたんだけどさ。,いやだからさ、なんかおふくろの一周忌があってさ、なんかアニメ見てさ、なんかシクシクじゃない、ワンワン泣いててさ。次の日の朝、高島さんの訃報が入って。次の日の朝なんですよ。月曜日の朝、びっくりしたよね。俺前言ったかもしれないけどさ。やっぱり政治家っていうのはさ。政治家とか、あと芸事をやってる人もそうかもしれないけど。親の死に目に会えないっていうじゃない？例えば、俺たちだって選挙やってたりさ、国会があったりさ、例えば政府に入ってて公務だったりしたらさ、会えないじゃない。でも俺はおかげさまで、紙の神様の思し召しかわかんないけど、その亡くなる48時間ずっと一緒にいれたわけですよ病院に。本当にさ、これはありがたい話で。ほとんど親孝行できてないんだけども、最後の48時間は一緒に、なんていうのかな、寄り添って見送ることできたんだけどさ。,https://www.youtube.com/watch?v=LqGRN-so3aA
今さら聞けないデジタル政策：ウチの親父もね。本当にやりたいことは何でもやらして,デジタル,N,2023/6/20,ウチの親父もね。本当にやりたいことは何でもやらしてくれたよ。本当にウチの会社ってちっちゃな会社なんだよ。それなのにね。なのに「青年会議所やりたい」って言えばやらしてくれてさ。「理事長やるんだ」っつったら「そうか頑張れ」って言ってくれたし。これはね、宇佐美くんが勧めてくれたんです、民主党の。バトミントン部で一緒に大学でやってた宇佐美が、それであいつは国会議員だったでしょ、新党さきがけ。今はよくわかんないけど、あっちで選挙でたり、こっちで選挙出たり、まだ政治家じゃないかな。それで彼がすすめてくれてJHC入ったの。その後彼と戦うことなんだけどね、俺自民党で、彼は民主党でっていうんで。だから、本当にうちの親父なんか、もう本当にええ格好しいなんだけど。なんか俺がやりたいっちゅうと「お前そんな会社どうすんだ」とか「仕事どうすんだ」ってもうここまで出てたと思うけど「まあまあいいんじゃないか」ってやらしてくれたからね。JCも。,ウチの親父もね。本当にやりたいことは何でもやらしてくれたよ。本当にウチの会社ってちっちゃな会社なんだよ。それなのにね。なのに「青年会議所やりたい」って言えばやらしてくれてさ。「理事長やるんだ」っつったら「そうか頑張れ」って言ってくれたし。これはね、宇佐美くんが勧めてくれたんです、民主党の。バトミントン部で一緒に大学でやってた宇佐美が、それであいつは国会議員だったでしょ、新党さきがけ。今はよくわかんないけど、あっちで選挙でたり、こっちで選挙出たり、まだ政治家じゃないかな。それで彼がすすめてくれてJHC入ったの。その後彼と戦うことなんだけどね、俺自民党で、彼は民主党でっていうんで。だから、本当にうちの親父なんか、もう本当にええ格好しいなんだけど。なんか俺がやりたいっちゅうと「お前そんな会社どうすんだ」とか「仕事どうすんだ」ってもうここまで出てたと思うけど「まあまあいいんじゃないか」ってやらしてくれたからね。JCも。,https://www.youtube.com/watch?v=LqGRN-so3aA
今さら聞けないデジタル政策：しかも、だって俺簡易党選挙までやってんだから。で、,デジタル,N,2023/6/20,しかも、だって俺簡易党選挙までやってんだから。で、終わってすぐ衆議院選挙でしょ。だから、親父も本当にやりたいようにやらしてくれたから今のね立場でね。それでお袋なんかも、本当にもう大きな愛だね。それでだから、言わなかったっけ？俺ラジオの話。俺ね、FM横浜か何かの番組に収録して。FM東京だったかな？それでね。なんかのAIの話だか、ブロックチェーンの話をしたんですよ。だから去年のお袋が亡くなる1週間前ぐらい前にね。それで、最後だから「平さん何かリクエストしてください」って言われたわけ。もう丁度お袋が亡くなる前の最後の晩だよね。夜9時だか10時ぐらいに、ずっとおふくろと俺と一緒で、兄貴と交代でお風呂行ってさ。「そういえば、お袋、俺ラジオ出るから、一緒に聞こう」ってラジオかけてさ、それで息子がラジオで喋ってるわけ、色々ね。それで、もうほとんど意識ないんで朦朧としてるんだけど。自分の息子がさ、ラジオで喋ってパーソナリティとこうやってるのをずっと聞いてたけど。それでさ、「最後に平さん1曲リクエスト」っつってさ、本当に俺大失敗だったなと思うたんだけど、氣志團のワンナイトカーニバル、本当にびっくりするんだよね。お袋が亡くなる晩に一緒に聞いててさ。あの静まった病棟のフロアにワンナイトカーニバルが流れて。あれが、最後の晩だよね。最後の夜に聞いた曲だよね。,しかも、だって俺簡易党選挙までやってんだから。で、終わってすぐ衆議院選挙でしょ。だから、親父も本当にやりたいようにやらしてくれたから今のね立場でね。それでお袋なんかも、本当にもう大きな愛だね。それでだから、言わなかったっけ？俺ラジオの話。俺ね、FM横浜か何かの番組に収録して。FM東京だったかな？それでね。なんかのAIの話だか、ブロックチェーンの話をしたんですよ。だから去年のお袋が亡くなる1週間前ぐらい前にね。それで、最後だから「平さん何かリクエストしてください」って言われたわけ。もう丁度お袋が亡くなる前の最後の晩だよね。夜9時だか10時ぐらいに、ずっとおふくろと俺と一緒で、兄貴と交代でお風呂行ってさ。「そういえば、お袋、俺ラジオ出るから、一緒に聞こう」ってラジオかけてさ、それで息子がラジオで喋ってるわけ、色々ね。それで、もうほとんど意識ないんで朦朧としてるんだけど。自分の息子がさ、ラジオで喋ってパーソナリティとこうやってるのをずっと聞いてたけど。それでさ、「最後に平さん1曲リクエスト」っつってさ、本当に俺大失敗だったなと思うたんだけど、氣志團のワンナイトカーニバル、本当にびっくりするんだよね。お袋が亡くなる晩に一緒に聞いててさ。あの静まった病棟のフロアにワンナイトカーニバルが流れて。あれが、最後の晩だよね。最後の夜に聞いた曲だよね。,https://www.youtube.com/watch?v=LqGRN-so3aA
今さら聞けないデジタル政策：俺もね、近くが見えないよね。今なんかすごい眼鏡出る,デジタル,N,2023/6/20,俺もね、近くが見えないよね。今なんかすごい眼鏡出るらしいよ、今度こうしてるだけで、完全に焦点を自動修正して、ここ見たら自動修正、遠く見たら自動修正、10万円ぐらいするけどね。こないだテレビでやってたよ。あの中山さんって、何だろう、あれ日曜日の番組かな？いやだから、そういうの思い出しながら法事やって。そしたら、ウチの墓があるところはさ、平さんばっかなわけよ。平さんの集落なんだよね。多分だから落武者じゃないな、関東の坂東平家って言うのかな、よくわかんないけど。だから、事前にお墓掃除をしてくれてたのね、法事の前に。で、それやってた人も名前が平さんっていうの。どっかで繋がってるかもしれませんねっつったら、そうしたら掃除やっててくれた人から「あれ？国会議員さんですよね？」って言われて、「そうです」みたいな。「私も平って言うんです」っていうくだりがあって、ありがたい話だよね。,俺もね、近くが見えないよね。今なんかすごい眼鏡出るらしいよ、今度こうしてるだけで、完全に焦点を自動修正して、ここ見たら自動修正、遠く見たら自動修正、10万円ぐらいするけどね。こないだテレビでやってたよ。あの中山さんって、何だろう、あれ日曜日の番組かな？いやだから、そういうの思い出しながら法事やって。そしたら、ウチの墓があるところはさ、平さんばっかなわけよ。平さんの集落なんだよね。多分だから落武者じゃないな、関東の坂東平家って言うのかな、よくわかんないけど。だから、事前にお墓掃除をしてくれてたのね、法事の前に。で、それやってた人も名前が平さんっていうの。どっかで繋がってるかもしれませんねっつったら、そうしたら掃除やっててくれた人から「あれ？国会議員さんですよね？」って言われて、「そうです」みたいな。「私も平って言うんです」っていうくだりがあって、ありがたい話だよね。,https://www.youtube.com/watch?v=LqGRN-so3aA
今さら聞けないデジタル政策：そうだ、もう一個思い出した。これ生ちゃんにも言った,デジタル,N,2023/6/20,そうだ、もう一個思い出した。これ生ちゃんにも言ったと思うけど、そのあとね。ウチのお袋が「もう家族葬にしてくれ」ってわけですよ。なぜならだって「私の母が亡くなりました」って言うと新聞にも出ちゃうし。いろんな人が来ちゃうから、それこそSPさんの警備だなんだってなって。そのなんて言うの、ちょっと言い方悪いけど、自分の関係ない人ばっかり来るわけじゃない。だから、そういうのやめてくれと。それで私の友達ももう御高齢だから、その偉い人達がいっぱい来てそれで待たされたりね。親父んときの葬式も見てるからさ。だから、それだけはやめてくれって言って。すごいちっちゃいお葬式にしたんですよ。兄貴が仕切ったんだよ、親父の時はしょうがないね。会社の社長やってたからね。で、兄貴が仕切ったんだけど、そしたら急に俺の日程も合わせなきゃいけないし。こじんまりやるんで。そしたら菩提寺の住職は「ちょっと日程が合わないけど、どうする？」って言われて、まあでもしょうがないから、この日程でやろうって。多分葬儀場の方から紹介されて、その宗派のお坊さん来たの。そしたら、さあお坊さんに一応親族と挨拶したら、「あら、平さんですか？」って。「そうです」って言ったら、「YouTube見てます」って言われてさ。「もうファンです」って言われてさ。「じゃあ、いつもより一生懸命やります」って。「いやいやいや毎回一生懸命やってくださいよ」って。だから、そのお坊さんは実はそこでお経読んで終わりだったのに、最後は火葬場まで行って、最後骨拾って、そこまでお経をあげてくれた。その「ファンだから、光栄です」って。ありがたい話でご縁があって、そんなのがあって、そういう週末でしたと。,そうだ、もう一個思い出した。これ生ちゃんにも言ったと思うけど、そのあとね。ウチのお袋が「もう家族葬にしてくれ」ってわけですよ。なぜならだって「私の母が亡くなりました」って言うと新聞にも出ちゃうし。いろんな人が来ちゃうから、それこそSPさんの警備だなんだってなって。そのなんて言うの、ちょっと言い方悪いけど、自分の関係ない人ばっかり来るわけじゃない。だから、そういうのやめてくれと。それで私の友達ももう御高齢だから、その偉い人達がいっぱい来てそれで待たされたりね。親父んときの葬式も見てるからさ。だから、それだけはやめてくれって言って。すごいちっちゃいお葬式にしたんですよ。兄貴が仕切ったんだよ、親父の時はしょうがないね。会社の社長やってたからね。で、兄貴が仕切ったんだけど、そしたら急に俺の日程も合わせなきゃいけないし。こじんまりやるんで。そしたら菩提寺の住職は「ちょっと日程が合わないけど、どうする？」って言われて、まあでもしょうがないから、この日程でやろうって。多分葬儀場の方から紹介されて、その宗派のお坊さん来たの。そしたら、さあお坊さんに一応親族と挨拶したら、「あら、平さんですか？」って。「そうです」って言ったら、「YouTube見てます」って言われてさ。「もうファンです」って言われてさ。「じゃあ、いつもより一生懸命やります」って。「いやいやいや毎回一生懸命やってくださいよ」って。だから、そのお坊さんは実はそこでお経読んで終わりだったのに、最後は火葬場まで行って、最後骨拾って、そこまでお経をあげてくれた。その「ファンだから、光栄です」って。ありがたい話でご縁があって、そんなのがあって、そういう週末でしたと。,https://www.youtube.com/watch?v=LqGRN-so3aA
今さら聞けないデジタル政策：でもなんかね。これ言うと、ちょっと問題かな。山野井,デジタル,N,2023/6/20,でもなんかね。これ言うと、ちょっと問題かな。山野井さんっているじゃない、立憲民主党の。我々からすると結構エキセントリックな感じだったけど、山野井さんも何か還暦を迎えて人間丸くなったっていう噂を聞きました。何かね。何か取りまとめなきゃなみたいな感じになる。どっちかって言うと、昔は攻撃ガンガンしてさ。今は何かだいぶ変わったという噂を聞きました。噂ですけどね。まあ、そんなことで。,でもなんかね。これ言うと、ちょっと問題かな。山野井さんっているじゃない、立憲民主党の。我々からすると結構エキセントリックな感じだったけど、山野井さんも何か還暦を迎えて人間丸くなったっていう噂を聞きました。何かね。何か取りまとめなきゃなみたいな感じになる。どっちかって言うと、昔は攻撃ガンガンしてさ。今は何かだいぶ変わったという噂を聞きました。噂ですけどね。まあ、そんなことで。,https://www.youtube.com/watch?v=LqGRN-so3aA
