title,category,eval,generate_date,search_text,text,url
ベスリメソッド:はじめに,マニュアル,N,2024/6/7,"日本において、うつや適応障害での休職者は全国で28万人いると言われています。休職は人生の中できわめて貴重な期間です。「これまでの考え方、やり方、そして生き方」が現実社会で上手くいかなくなった。それを仕事から離れ、傷病手当を受け取りながら、生活習慣を改善し、体・脳・心を正しく機能させ、次のステージのために知識・スキル・価値観の修正を行うのです。

一方、薬を服用して、ただ自宅でうなだれて、誰とも話さずに数カ月過ごし、手当支給の期間が来たので、会社での不安を精算せず、働く希望もなく復職していく。これだと復職しても半分以上が再発、再休職するのは当然です。

体を動かさず、休養しているように見える脳の中では、ミクログリアが活発に活動し、背外側前頭前野を傷害してブレインフォグ、集中力障害を起こし、前島の身体予算管理障害、前帯状回機能不全が起こって、ばんばん扁桃体が過剰活動しているのです。ここまで読んで、自分にはよくわからない単語が羅列していると感じているかもしれませんが、続きを読めば理解できるので心配ありません。

ベスリでは、この28万人の方々の社会復帰を目標に日々診療を進化させています。","日本において、うつや適応障害での休職者は全国で28万人いると言われています。休職は人生の中できわめて貴重な期間です。「これまでの考え方、やり方、そして生き方」が現実社会で上手くいかなくなった。それを仕事から離れ、傷病手当を受け取りながら、生活習慣を改善し、体・脳・心を正しく機能させ、次のステージのために知識・スキル・価値観の修正を行うのです。

一方、薬を服用して、ただ自宅でうなだれて、誰とも話さずに数カ月過ごし、手当支給の期間が来たので、会社での不安を精算せず、働く希望もなく復職していく。これだと復職しても半分以上が再発、再休職するのは当然です。

体を動かさず、休養しているように見える脳の中では、ミクログリアが活発に活動し、背外側前頭前野を傷害してブレインフォグ、集中力障害を起こし、前島の身体予算管理障害、前帯状回機能不全が起こって、ばんばん扁桃体が過剰活動しているのです。ここまで読んで、自分にはよくわからない単語が羅列していると感じているかもしれませんが、続きを読めば理解できるので心配ありません。

ベスリでは、この28万人の方々の社会復帰を目標に日々診療を進化させています。",
ベスリメソッド:I. 治療の前提：ビジネスパーソンのうつ・適応障害,マニュアル,N,2024/6/7,"ベスリの提唱する治療には、とても大事な前提があります。
大前提：脳機能障害はあるが、脳自体は正常である
小前提１：症状はその人を守るために起こっている
小前提２：薬物療法は対症療法であり、原因治療を行う。
小前提３：脳機能が正常化したらソフトの再インストールが必要（社会的スキルやビジネススキルの更新）

ビジネスパーソンのうつ・適応障害では、「脳機能は正しく、その人を守るために症状が起こっている」というのが病態です。例えば、上司の前で動悸や息苦しさが起こる場合は、「上司」という危険/脅威を脳が察知し、それを身体に知らせているのです。
症状を起こす（起こせる）程に脳機能が正常なので、症状緩和のために一時的に薬を使うことはありますが、薬物療法は対症療法であり、脳傷害である統合失調症、双極性障害でない場合は補助的療法です。逆に、薬以外の治療が根治のためには必要となります。しかし、日本では、保険診療の限界があり、薬物療法以外の治療方法が充実していないのが現状です。ここに対して、ベスリは挑戦を続けています。→特別外来参照
ハードウェアである脳は正常なので、病気の原因を取り除けば症状は改善します。しかし、根治するためには、脳の中身であるソフトウェア（新しい役職・部署や新しい時代に合わせた思考法など）を更新することが重要です。詳細は追って説明していきます。","ベスリの提唱する治療には、とても大事な前提があります。
大前提：脳機能障害はあるが、脳自体は正常である
小前提１：症状はその人を守るために起こっている
小前提２：薬物療法は対症療法であり、原因治療を行う。
小前提３：脳機能が正常化したらソフトの再インストールが必要（社会的スキルやビジネススキルの更新）

ビジネスパーソンのうつ・適応障害では、「脳機能は正しく、その人を守るために症状が起こっている」というのが病態です。例えば、上司の前で動悸や息苦しさが起こる場合は、「上司」という危険/脅威を脳が察知し、それを身体に知らせているのです。
症状を起こす（起こせる）程に脳機能が正常なので、症状緩和のために一時的に薬を使うことはありますが、薬物療法は対症療法であり、脳傷害である統合失調症、双極性障害でない場合は補助的療法です。逆に、薬以外の治療が根治のためには必要となります。しかし、日本では、保険診療の限界があり、薬物療法以外の治療方法が充実していないのが現状です。ここに対して、ベスリは挑戦を続けています。→特別外来参照
ハードウェアである脳は正常なので、病気の原因を取り除けば症状は改善します。しかし、根治するためには、脳の中身であるソフトウェア（新しい役職・部署や新しい時代に合わせた思考法など）を更新することが重要です。詳細は追って説明していきます。",
ベスリメソッド:II. 基本(科学・哲学）原理,マニュアル,N,2024/6/7,ベスリ理論の基盤に神経科学、生物学、哲学的原理があります。,ベスリ理論の基盤に神経科学、生物学、哲学的原理があります。,
ベスリメソッド:II. 基本(科学・哲学）原理（1.脳神経の基本原理：フリストンの自由エネルギー原理）,マニュアル,N,2024/6/7,"脳神経の基本機能は、予測して、予測誤差を修正をして、そして誤差を最小化することがその役割です。
事実世界を外部で実際に起こっていること、現実世界は、事実世界を脳の中に写像した世界だと定義します。事実世界に対して、「私」という価値観でとらえたものが私の現実世界です。よって、事実世界と現実世界は、必ずしも一致しません。また人それぞれの現実世界に生きています。
例えば、職場に「上司」がいます。それは事実です。一方で、あなたの脳の中にも「上司」がいます。脳の中（これを現実世界と呼びます）の上司は、「嫌な上司」または「素敵な上司」かもしれませんが、事実世界には、嫌な上司も素敵な上司もいません。外部世界いるのは、ただの上司です。（上司も脳の中の言葉で、外部世界いるのは唯の人です）","脳神経の基本機能は、予測して、予測誤差を修正をして、そして誤差を最小化することがその役割です。
事実世界を外部で実際に起こっていること、現実世界は、事実世界を脳の中に写像した世界だと定義します。事実世界に対して、「私」という価値観でとらえたものが私の現実世界です。よって、事実世界と現実世界は、必ずしも一致しません。また人それぞれの現実世界に生きています。
例えば、職場に「上司」がいます。それは事実です。一方で、あなたの脳の中にも「上司」がいます。脳の中（これを現実世界と呼びます）の上司は、「嫌な上司」または「素敵な上司」かもしれませんが、事実世界には、嫌な上司も素敵な上司もいません。外部世界いるのは、ただの上司です。（上司も脳の中の言葉で、外部世界いるのは唯の人です）",
ベスリメソッド:II. 基本(科学・哲学）原理（2.ポリヴァーガル理論と進化階層脳）,マニュアル,N,2024/6/7,"神経の基本原則）古い神経は、新しい神経が抑制されている。新しい神経の活動が止まると古い神経は脱抑制されて活動を開始する。

ポリヴァーガル理論）副交感神経の大きな要素は迷走神経(Vagal　Nerve)、迷走運動核に、従来の古い迷走運動神経核（背側迷走神経運動核）に新たに新しい迷走神経運動核（疑核：腹側迷走神経運動核）が認知された。
新しく再認知された腹側迷走神経運動核は、鰓弓神経群（Ⅴ、Ⅶ、Ⅸ、Ⅹ、Ⅺ）の一つで、表情筋、嚥下、発声、高音聴取、心拍抑制など、社会的コミュニケーションの神経、社会神経として活動する。歴史的に古い横隔膜下の主に消化管を支配す古い迷走神経、副交感神経、その後闘争/逃走の交感神経、そして高い社会性を持つ哺乳類になって発達した社会神経が出来上がった。
これらは階層的に活動、制御されており、安全安心の状態であれば社会神経が活動し、危険な状態になると社会神経の活動が停止し、抑制されていた交感神経が活動（闘争/逃走）、この交感神経の活動が停止すると古い副交感神経が活動する（シャットダウン、意識消失、脱尿・脱糞）。
哺乳類では、この3つの自律神経を通じて、意識化のNeuroception(神経認知)として外的環境への適応状態を生み出している。

進化階層脳）中学の理科で学ぶことですが、動物の進化は、以下のとおりです：魚類→両生類→爬虫類→鳥類or哺乳類
実は、脳も同様の進化過程をたどっており、階層化されています。脳の階層は、大きく魚類→爬虫類→哺乳類→人類と定義することができます。しかも、子宮の中で受精卵が着床し、胎芽から胎児へと育つ過程において脳が発達し、最後に人の脳になるのです。（解剖学者・三木成夫提唱）

一番原始である魚類脳の中枢は、「扁桃体」です。その上位に、爬虫類脳に相当する「眼窩前頭前野」があり、さらに上に、ほ乳類脳の「大脳皮質内側前頭前野(mPFC)のデフォルトモードネットワーク(DMN)」、最上位が人類脳である「大脳皮質背外側前頭前野(dIPFC)のワーキングメモリー(WMN)」となります。
それぞれの階層に感覚野、運動野があります。脳の部位名は後ほど脳の病態のセクションで再度出てくるので、現時点では、ひとつひとつを確認する必要はありません。

ここでは、３点だけ覚えてください。
1.自律神経は脳の最下位階層である魚類脳(扁桃体)と連結している。メンタル疾患の身体症状（眼窩前頭前野と協働で精神症状も）は全て扁桃体が起こしている。
2.上位脳は下位脳を抑制しており、上位脳が停止すると、下位脳活動が脱抑制により活発になるという関係にある。
3.症状を起こす扁桃体(魚類脳)を抑制するには、爬虫類脳の運動野（前帯状回）の機能回復を行う。具体的には最上位脳のdlPFCの活性化と鰓弓神経トレーニングです。
このあとの診断・治療と関係してくるので、少し頭の片隅に入れておいてください。","神経の基本原則）古い神経は、新しい神経が抑制されている。新しい神経の活動が止まると古い神経は脱抑制されて活動を開始する。

ポリヴァーガル理論）副交感神経の大きな要素は迷走神経(Vagal　Nerve)、迷走運動核に、従来の古い迷走運動神経核（背側迷走神経運動核）に新たに新しい迷走神経運動核（疑核：腹側迷走神経運動核）が認知された。
新しく再認知された腹側迷走神経運動核は、鰓弓神経群（Ⅴ、Ⅶ、Ⅸ、Ⅹ、Ⅺ）の一つで、表情筋、嚥下、発声、高音聴取、心拍抑制など、社会的コミュニケーションの神経、社会神経として活動する。歴史的に古い横隔膜下の主に消化管を支配す古い迷走神経、副交感神経、その後闘争/逃走の交感神経、そして高い社会性を持つ哺乳類になって発達した社会神経が出来上がった。
これらは階層的に活動、制御されており、安全安心の状態であれば社会神経が活動し、危険な状態になると社会神経の活動が停止し、抑制されていた交感神経が活動（闘争/逃走）、この交感神経の活動が停止すると古い副交感神経が活動する（シャットダウン、意識消失、脱尿・脱糞）。
哺乳類では、この3つの自律神経を通じて、意識化のNeuroception(神経認知)として外的環境への適応状態を生み出している。

進化階層脳）中学の理科で学ぶことですが、動物の進化は、以下のとおりです：魚類→両生類→爬虫類→鳥類or哺乳類
実は、脳も同様の進化過程をたどっており、階層化されています。脳の階層は、大きく魚類→爬虫類→哺乳類→人類と定義することができます。しかも、子宮の中で受精卵が着床し、胎芽から胎児へと育つ過程において脳が発達し、最後に人の脳になるのです。（解剖学者・三木成夫提唱）

一番原始である魚類脳の中枢は、「扁桃体」です。その上位に、爬虫類脳に相当する「眼窩前頭前野」があり、さらに上に、ほ乳類脳の「大脳皮質内側前頭前野(mPFC)のデフォルトモードネットワーク(DMN)」、最上位が人類脳である「大脳皮質背外側前頭前野(dIPFC)のワーキングメモリー(WMN)」となります。
それぞれの階層に感覚野、運動野があります。脳の部位名は後ほど脳の病態のセクションで再度出てくるので、現時点では、ひとつひとつを確認する必要はありません。

ここでは、３点だけ覚えてください。
1.自律神経は脳の最下位階層である魚類脳(扁桃体)と連結している。メンタル疾患の身体症状（眼窩前頭前野と協働で精神症状も）は全て扁桃体が起こしている。
2.上位脳は下位脳を抑制しており、上位脳が停止すると、下位脳活動が脱抑制により活発になるという関係にある。
3.症状を起こす扁桃体(魚類脳)を抑制するには、爬虫類脳の運動野（前帯状回）の機能回復を行う。具体的には最上位脳のdlPFCの活性化と鰓弓神経トレーニングです。
このあとの診断・治療と関係してくるので、少し頭の片隅に入れておいてください。",
ベスリメソッド:II. 基本(科学・哲学）原理（3.治療対象はまずは実体のあるモノから。）,マニュアル,N,2024/6/7,"実体があるモノ＝壊れる＝病気になる＝治せる
実体がないモノ＝壊れない＝病気成らない＝治せない

体は、実体があるモノ。
脳も、実体があるモノ。
しかし、心という目に見える臓器はありません。だから、心は「実体がないモノ」に分類されます。でも、私たちの感情は心から湧き出てきますよね。心とは何でしょうか？心は、脳が作り上げているものです。心を治すには、脳の使い方すなわち思考法を変化させる必要があります。

病態：ないモノ（例：プライド）をあるモノと誤解することでこころの病気なる
治療：ないモノ（例：プライド）はあるモノ（脳）が生存の為に創られる。まずはあるモノを治すと、無いモノは改善する。無いものは治すのでなく、修正する。","実体があるモノ＝壊れる＝病気になる＝治せる
実体がないモノ＝壊れない＝病気成らない＝治せない

体は、実体があるモノ。
脳も、実体があるモノ。
しかし、心という目に見える臓器はありません。だから、心は「実体がないモノ」に分類されます。でも、私たちの感情は心から湧き出てきますよね。心とは何でしょうか？心は、脳が作り上げているものです。心を治すには、脳の使い方すなわち思考法を変化させる必要があります。

病態：ないモノ（例：プライド）をあるモノと誤解することでこころの病気なる
治療：ないモノ（例：プライド）はあるモノ（脳）が生存の為に創られる。まずはあるモノを治すと、無いモノは改善する。無いものは治すのでなく、修正する。",
ベスリメソッド:III. 診断原理,マニュアル,N,2024/6/7,"ベスリでは、原因に基づき診断を行っています。内科、外科などの身体科では、病気は「原因→病態→症状」と考え、徹底的に原因を追究し、原因治療、そのための原因診断を行います。ベスリは身体科と同じ考えに基づいて診断、治療を行っています。

一方精神科は精神症状を大切に、うつ状態だとうつ病、不安状態だと不安障害、強迫症状だと強迫性障害、眠れないと不眠症と症状で病気を分けて治療していきます。これか精神科最大の病気である統合失調症を症状で診断して、他の精神疾患を分けてきた成功体験があるからです。

うつ病という診断は症状診断名で、単に抑うつ状態であるという意味でしかありません。診断名の症状を治しても、原因の治療にはならないのです。

今うつ病の原因は何でしょうか？そう考えると、いろんな原因別のうつ病が存在するはずです。
まず外部環境と内部環境に分けて考えます。外部環境とは、職場や家庭など、本人を取り巻く環境を指します。内部環境とは、生体としての個人を指します。
環境が人間に障害を与えている場合は、環境障害です。原因は環境にあるので、環境を変えることが根本治療になります。
どんな環境にいても症状が出てしまう場合は個人の障害であり、全般性適応障害と定義します。例えば、転職を繰り返してもいつも同じような結末に至ってしまう方の場合は、ご本人のスキルや思考法を調整しなければ、根治はできません。
環境と個人の折り合いの悪さは、環境に対する個人の適応障害、環境適応障害と定義します。過剰に適応しようとして症状が出る場合は、世間一般がイメージする「真面目なうつ病」です。一方で、最近の若い方に増えているのは、過少適応障害です。職場で嫌なことがあると、その内容が何であれ、自己防衛のための症状が出てきてしまう。社会人としてまだ十分な成長ができていない（大人になりきれていない）ことが根本の原因です。ベスリでは、別名で発展途上適応障害とも呼んでいます。

原因別に整理し、ベスリでは診断名を以下のように整理しました。
領域	病名	略称
環境障害	職場適応障害	OMAC	Occupational Mal-Adjustment Condition 
	家庭適応障害	FMAC	Familial Mal-Adjustment Condition 
環境適応障害	過剰適応障害	EMAC	Excessive Mal-Adjustment Condition 
	過少適応障害	DMAC	Developping Mal-djustment Condition 
個人の障害	全般性適応障害	GMAC	General　Mal-Adjustment Condition 

診断名そのものを覚える必要はなく、診断の考え方をここでは理解してください。
原因別に診断ができると、治療も明確になります。例えば、業務や人間関係など職場で起こったうつ症状は「職場適応障害」と診断し、治療ではビジネススキルや対人コミュニケーション力をつけてもらいます。時には産業医を通じて職場環境調整を依頼します。家庭で起こったうつは「家庭適応障害」としてファミリーカウンセリングなどの治療につなげていきます。","ベスリでは、原因に基づき診断を行っています。内科、外科などの身体科では、病気は「原因→病態→症状」と考え、徹底的に原因を追究し、原因治療、そのための原因診断を行います。ベスリは身体科と同じ考えに基づいて診断、治療を行っています。

一方精神科は精神症状を大切に、うつ状態だとうつ病、不安状態だと不安障害、強迫症状だと強迫性障害、眠れないと不眠症と症状で病気を分けて治療していきます。これか精神科最大の病気である統合失調症を症状で診断して、他の精神疾患を分けてきた成功体験があるからです。

うつ病という診断は症状診断名で、単に抑うつ状態であるという意味でしかありません。診断名の症状を治しても、原因の治療にはならないのです。

今うつ病の原因は何でしょうか？そう考えると、いろんな原因別のうつ病が存在するはずです。
まず外部環境と内部環境に分けて考えます。外部環境とは、職場や家庭など、本人を取り巻く環境を指します。内部環境とは、生体としての個人を指します。
環境が人間に障害を与えている場合は、環境障害です。原因は環境にあるので、環境を変えることが根本治療になります。
どんな環境にいても症状が出てしまう場合は個人の障害であり、全般性適応障害と定義します。例えば、転職を繰り返してもいつも同じような結末に至ってしまう方の場合は、ご本人のスキルや思考法を調整しなければ、根治はできません。
環境と個人の折り合いの悪さは、環境に対する個人の適応障害、環境適応障害と定義します。過剰に適応しようとして症状が出る場合は、世間一般がイメージする「真面目なうつ病」です。一方で、最近の若い方に増えているのは、過少適応障害です。職場で嫌なことがあると、その内容が何であれ、自己防衛のための症状が出てきてしまう。社会人としてまだ十分な成長ができていない（大人になりきれていない）ことが根本の原因です。ベスリでは、別名で発展途上適応障害とも呼んでいます。

原因別に整理し、ベスリでは診断名を以下のように整理しました。
領域	病名	略称
環境障害	職場適応障害	OMAC	Occupational Mal-Adjustment Condition 
	家庭適応障害	FMAC	Familial Mal-Adjustment Condition 
環境適応障害	過剰適応障害	EMAC	Excessive Mal-Adjustment Condition 
	過少適応障害	DMAC	Developping Mal-djustment Condition 
個人の障害	全般性適応障害	GMAC	General　Mal-Adjustment Condition 

診断名そのものを覚える必要はなく、診断の考え方をここでは理解してください。
原因別に診断ができると、治療も明確になります。例えば、業務や人間関係など職場で起こったうつ症状は「職場適応障害」と診断し、治療ではビジネススキルや対人コミュニケーション力をつけてもらいます。時には産業医を通じて職場環境調整を依頼します。家庭で起こったうつは「家庭適応障害」としてファミリーカウンセリングなどの治療につなげていきます。",
ベスリメソッド:Ⅳ. 治療原理：ベスリメソッドによる最適治療解,マニュアル,N,2024/6/7,"うつの患者さんに休職診断書を書くことは簡単です。しかし、休んだだけでは病気は治りません。ベスリは早期復職、再発防止を治療目標としています。

治療計画の立て方：
実際の診療で大事なのは、未来について考えてもらうことです。「どうなりたい？」と問いを投げかけてください。
現在と未来のギャップをどうやって埋めていくのか。それが治療計画です。I章でお伝えした自由エネルギー原理を覚えていますか？「脳は予測し、予測誤差を最小化させるもの」です。未来を予測し、現在とのギャップを最小化させるために、脳を動かすことから治療が始まります。患者さんと未来を共有し、その未来に向かって治療を進めて行きます。","うつの患者さんに休職診断書を書くことは簡単です。しかし、休んだだけでは病気は治りません。ベスリは早期復職、再発防止を治療目標としています。

治療計画の立て方：
実際の診療で大事なのは、未来について考えてもらうことです。「どうなりたい？」と問いを投げかけてください。
現在と未来のギャップをどうやって埋めていくのか。それが治療計画です。I章でお伝えした自由エネルギー原理を覚えていますか？「脳は予測し、予測誤差を最小化させるもの」です。未来を予測し、現在とのギャップを最小化させるために、脳を動かすことから治療が始まります。患者さんと未来を共有し、その未来に向かって治療を進めて行きます。",
ベスリメソッド:1.ベスリの三角,マニュアル,N,2024/6/7,"脳は進化過程をたどって階層化されているというお話を前にしました。具体的な脳の部位についてはひとまず横に置いておいて、概念としての階層脳を中心に考えていきましょう。

健康な状態では上位脳（発生学的に新しい脳）が下位脳（発生学的に古い脳）を抑制していますが、ストレスがかかると、意識を生み出す最も上位にある人脳、WMN(dlPFCは医学速前頭前野)がやられます。そうすると、WMNの意識や注意が散漫になり、哺乳類脳のであるDMNが脱抑制、活動が高まり、思考がぐるぐるし始めます。思考がぐるぐるすると、脳内の神経伝達物質、特に量が少ないセロトニンが枯渇します。セロトニンが減ると、睡眠をつかさどるホルモンであるメラトニンが減少し、眠れなくなるのです。セロトニンは扁桃体の活動を抑制するので、感情の高ぶりがなりクールな覚醒ホルモンとも呼ばれています。逆にセロトニンが減ると、扁桃体が不安定となりＭ不安になったり、落ち込みやすい状態になります。

このように、メンタル障害の本態は、思考の反芻（ぐるぐる思考）によるセロトニンの枯渇が大きな病因です。症状は、体→脳→心の順で出現します。最初は、不眠、そして睡眠不足のせいで身体に不調が出てきます。この状態が続くと、脳が不安定になり、ストレス耐性が下がり、健康なときには影響を受けない事柄に対して、脳がさらに反応するようになります。徐々に、思考力が低下し、頭の中が霧がかったようでうまく物事を考えられなくなります。これが一般にいう「うつ症状」です。
ベスリでは体・脳・心を一体として考え、これらをベスリの三角と呼んでいます。治療するときは、体→脳→心の順で治療をしていきます。治療については、後ろのセクションで取り扱います。","脳は進化過程をたどって階層化されているというお話を前にしました。具体的な脳の部位についてはひとまず横に置いておいて、概念としての階層脳を中心に考えていきましょう。

健康な状態では上位脳（発生学的に新しい脳）が下位脳（発生学的に古い脳）を抑制していますが、ストレスがかかると、意識を生み出す最も上位にある人脳、WMN(dlPFCは医学速前頭前野)がやられます。そうすると、WMNの意識や注意が散漫になり、哺乳類脳のであるDMNが脱抑制、活動が高まり、思考がぐるぐるし始めます。思考がぐるぐるすると、脳内の神経伝達物質、特に量が少ないセロトニンが枯渇します。セロトニンが減ると、睡眠をつかさどるホルモンであるメラトニンが減少し、眠れなくなるのです。セロトニンは扁桃体の活動を抑制するので、感情の高ぶりがなりクールな覚醒ホルモンとも呼ばれています。逆にセロトニンが減ると、扁桃体が不安定となりＭ不安になったり、落ち込みやすい状態になります。

このように、メンタル障害の本態は、思考の反芻（ぐるぐる思考）によるセロトニンの枯渇が大きな病因です。症状は、体→脳→心の順で出現します。最初は、不眠、そして睡眠不足のせいで身体に不調が出てきます。この状態が続くと、脳が不安定になり、ストレス耐性が下がり、健康なときには影響を受けない事柄に対して、脳がさらに反応するようになります。徐々に、思考力が低下し、頭の中が霧がかったようでうまく物事を考えられなくなります。これが一般にいう「うつ症状」です。
ベスリでは体・脳・心を一体として考え、これらをベスリの三角と呼んでいます。治療するときは、体→脳→心の順で治療をしていきます。治療については、後ろのセクションで取り扱います。",
ベスリメソッド:2.治療ステージ,マニュアル,N,2024/6/7,"ベスリでは、４段階の治療ステージを定義しています。
多くの人は、心身の状態が最悪の状態で来院する（急性期）ので、治療を開始してそれ以上悪くさせないという状態（低くても安定させる安定期）を保ち、その後に回復期へと向かいます。しかし、元の状態（あるいは回復の兆しが見えると）で治療をやめてしまうと再発率はかなり高くなってしまいます。そのため、元の状態よりもより高めるための思考、行動などを行なうことを成長医療として実施します。この状態になって卒業することを卒業医療としています。

身体回復期では、まずは体を治すことを最優先にします。体がだるい、食事が摂れない、眠れない、疲れやすいなどの症状が軽減することを目指します。

心身回復期では、脳を治していきます。

体も脳も治ったら、社会復帰に向けての準備を始めます。これが社会回復期です。
休職している方は復職や転職などで再度働き始めることを目指します。仕事をしながら治療している方は、病気になる前と同じように働ける状態を目指します。

既存の多くのメンタルクリニックでは、心身の回復までをゴールとしているように見えます。しかし、人間は社会性のある動物です。社会の一員として役に立たないと、本当の意味で治ったとは言えません。そのため、ベスリでは社会回復期に力を入れています。

そして、再発しないためには、最後の社会成長期が重要です。こちらについてはV章で説明します。（人間成長期は社会成長期へ名称変更）","ベスリでは、４段階の治療ステージを定義しています。
多くの人は、心身の状態が最悪の状態で来院する（急性期）ので、治療を開始してそれ以上悪くさせないという状態（低くても安定させる安定期）を保ち、その後に回復期へと向かいます。しかし、元の状態（あるいは回復の兆しが見えると）で治療をやめてしまうと再発率はかなり高くなってしまいます。そのため、元の状態よりもより高めるための思考、行動などを行なうことを成長医療として実施します。この状態になって卒業することを卒業医療としています。

身体回復期では、まずは体を治すことを最優先にします。体がだるい、食事が摂れない、眠れない、疲れやすいなどの症状が軽減することを目指します。

心身回復期では、脳を治していきます。

体も脳も治ったら、社会復帰に向けての準備を始めます。これが社会回復期です。
休職している方は復職や転職などで再度働き始めることを目指します。仕事をしながら治療している方は、病気になる前と同じように働ける状態を目指します。

既存の多くのメンタルクリニックでは、心身の回復までをゴールとしているように見えます。しかし、人間は社会性のある動物です。社会の一員として役に立たないと、本当の意味で治ったとは言えません。そのため、ベスリでは社会回復期に力を入れています。

そして、再発しないためには、最後の社会成長期が重要です。こちらについてはV章で説明します。（人間成長期は社会成長期へ名称変更）",
