create_date,subject,place,impression
1994/11/3,継父・佐々木徹の手,東京・墨田のバー Cielo,握手ではなく肩を叩いてきた。手の甲に古い火傷の痕があって、聞いたら「若い頃に厨房で」とだけ。語らないことで語る人がいると知った最初。
1996/8/9,祖母・佐野ミツの言葉,埼玉・草加の実家,「持って帰れたのは着ているものだけ」。毎年同じ言葉を同じ抑揚で言った。繰り返す人は、まだ終わっていない人なのだと後で理解した。
2000/9/14,駅前のフリースタイラー,東京・錦糸町駅前,誰にも見られていないのに、失敗するたびに小さく舌打ちしていた。観客のいない真剣さというものが、この世にあると知った。
2002/3/28,祖父の遺品の写真,横浜・本牧の祖父宅,ブエノスアイレスの港が何十枚も出てきた。全部同じ角度だった。帰りたかったのか、区切りをつけたかったのか、判定できないまま今も持っている。
2007/11/2,予備校の隣の席の男,東京・御茶ノ水の予備校,四浪目だと言っていた。「ここにいる理由を説明できなくなったら終わり」と笑った。彼が受かったかどうかは知らない。
2010/2/22,トム・ドハティ,豪・バイロンベイ,「次は流れに逆らうな、横に泳げ」。命を助けた側が、恩を着せずに実務の話だけをして去った。あの距離感を取材でも真似している。
2010/4/12,病室の窓から見えた工事現場,シドニーの病院,動けない自分の外で、鉄骨が毎日確実に積み上がっていった。回復とは何もしていない時間の別名だと、あの現場に教わった。
2013/8/19,客先の経理課長の顔,名古屋・客先の会議室,自分のバグで締めが止まった夜、怒鳴られなかった。ただ「これ、今日中に終わらないと給料が出ないんですよ」と静かに言われた。数字の向こうに人がいる。
2014/5/7,手書きの二重伝票,静岡の物流倉庫,システムが入っているのに、現場は紙で回していた。担当者は悪びれずに「こっちのほうが速いから」。正しさと速さは別物だと突きつけられた。
2016/2/14,茨城の農家・関口さんの沈黙,茨城・鉾田の農園,技能実習生の話を聞きに行って、答えにくい質問をした後の十秒の沈黙。あの沈黙のほうが、そのあと出てきた言葉より正確だった。
2016/2/14,実習生の寮の靴,茨城・鉾田の寮の玄関,玄関に並んだサンダルが全部同じ銘柄だった。支給品だと聞いて、生活のどこまでが選べないのかを考えた。
2017/3/25,三宅慧の第一声,東京・三軒茶屋の立ち飲み,「あのブログ、事実は合ってるけど怒りが足りない」。初対面でそう言われた。褒められるより先に足りないものを言われたのが、結果的に一番効いた。
2018/1/26,カウンターに出された一杯,東京・墨田のバー Cielo,署名記事の載った雑誌を置いたら、継父は何も言わずに酒を出した。「読んだ」とも「すごい」とも言わない。あれ以上の返事を今も知らない。
2018/7/30,上司の一言,東京・日之出システムズ,「うちの現場のことは書くなよ」。処分ではなく信頼の話をされて、こちらのほうが逃げ場をなくした。
2019/11/9,ダッカの縫製工場の照明,バングラデシュ・ダッカ,蛍光灯が一列だけ切れていて、その列の作業者だけ顔が見えなかった。設備の不足は、そのまま誰が見えるかの問題になる。
2019/11/12,縫製工の女性ラフィアの手元,バングラデシュ・ダッカ,一枚あたり何秒か聞いたら、答えずに実演してくれた。言葉より速い手が答えだった。通訳を介さない情報がある。
2020/5/20,電話越しの息づかい,自宅から国際電話,移動できない年、音声だけで取材した。相手が言い淀む前の呼吸が聞こえる。映像がないほうが分かることがある。
2021/6/17,空になった通帳,東京・自宅,結婚詐欺にあった日の残高。数字を見ても現実感がなかった。人は自分の被害には取材ができない。
2021/9/6,ナポリの洗濯物,イタリア・ナポリ、スパッカナポリ,路地の上に洗濯物が渡してあって、空がその分だけ狭かった。狭いのに息がしやすかった。理屈がつかない場所が自分には要る。
2021/10/11,マッテオ・リッツォの段取り,イタリア・ナポリの安宿,隣室の男が、翌朝には取材先の電話番号を三つ持ってきた。理由を聞いたら「退屈してたから」。善意の説明を求めるほうが野暮だと学んだ。
2022/1/23,パレルモの市場の魚屋,イタリア・パレルモ,値札のない魚を、客の顔を見て値付けしていた。不透明さが即座に不正ではない。制度の外にある秩序を見た。
2022/5/23,宿の前の二人組,イタリア・シチリア島,「次は無い」とだけ言われた。恐怖より先に、言い方が事務的だったことに驚いた。脅しが日常業務になっている場所がある。
2022/5/30,二度目は来なかったこと,イタリア・シチリア島,同じ宿に泊まり続けたが何も起きなかった。脅す側にとってもコストがある。行使されない力の正体を少し理解した。
2023/2/9,空港の拘置室の時計,中米某国の国際空港,秒針だけが動く部屋に三日いた。制度に間違われた人間が、どれだけ何もできないかを身体で覚えた。
2023/2/12,返された荷物,中米某国の国際空港,釈放時、謝罪はなく荷物だけ返された。中身は全部揃っていた。丁寧なのに謝らない。手続きと誠実さは別物だ。
2023/6/4,干上がった灌漑用水路,スペイン・アンダルシア,水路の底に自転車が沈んでいた。水があった頃に捨てられたものが、水が消えて初めて見える。
2023/9/17,ギグワーカーのアプリ画面,ブラジル・サンパウロ,報酬額が数十秒ごとに書き換わる。交渉相手が人間ですらない状況を、当人は「今日はアプリの機嫌が悪い」と表現した。
2024/1/29,難民キャンプの学校の黒板,ヨルダン・ザアタリ,三言語が同じ黒板に並んでいた。教える側が、どの言語で未来を想定すべきか決めかねている痕跡だった。
