,日付,タイトル,カテゴリー,A-1.独自性(Cos距離),A-1.独自性_ドラフト時点,A-1.独自性_改善度,A-2.独自キーワード(割合),B-1.評価ランク,B-2.実現度合(Cos類似度),B-3.論点再現度(割合),C-1.知識活用性_Opinion,C-2.知識活用性_Policy,C-3.知識活用性_Communication,BEST_Mark,Top5_Mark
0,2024-12-31,2024年の振り返り,AI,0.23469173841451296,0.23685618537188058,-0.002164446957367616,0.25395506115112876,A,0.9593593916631971,0.6666666667,0.148,0.024,0,k1_util_Communication_BEST; ,o1_final_TOP5; r1_score_TOP5; k1_util_Opinion_TOP5; k1_util_Policy_TOP5; k1_util_Communication_TOP5; 
1,2024-12-30,データが枯渇した？,AI,0.18076133019453644,0.19734923798354198,-0.01658790778900554,0.42017854044349595,D,0.8797725982331256,0.25,0.154,0.028,0,k1_util_Opinion_BEST; k1_util_Policy_BEST; ,o2_tfidf_rate_TOP5; k1_util_Opinion_TOP5; k1_util_Policy_TOP5; k1_util_Communication_TOP5; 
2,2024-12-29,考える量と食欲は比例する,生活,0.2374943051541033,0.22838355438335245,0.009110750770750853,0.12444643753781073,A,0.904023829804247,0.2,0.0,0.0,0,,o1_final_TOP5; r1_score_TOP5; k1_util_Opinion_TOP5; k1_util_Policy_TOP5; k1_util_Communication_TOP5; 
3,2024-12-28,ケータイするデジタルMATSUMOTO,AI,0.1381759547032052,0.1399920232968891,-0.0018160685936838838,0.3079298619384495,A,0.9501913073686082,0.6666666667,0.0,0.0,0,,o2_tfidf_rate_TOP5; r1_score_TOP5; k1_util_Opinion_TOP5; k1_util_Policy_TOP5; k1_util_Communication_TOP5; 
4,2024-12-27,過剰なガバナンスによる機会損失,AI,0.19439019698981974,0.1738865280777463,0.020503668912073447,0.26585184897056713,B,0.9176191881484671,0.75,0.0,0.0,0,,r3_point_TOP5; k1_util_Opinion_TOP5; k1_util_Policy_TOP5; k1_util_Communication_TOP5; 
5,2024-12-26,社会インフラ化しつつあるLLM,AI,0.13584141684026074,0.09326056891027579,0.042580847929984955,0.45213193647273675,A,0.903396078336401,0.75,0.0,0.0,0,,o2_tfidf_rate_TOP5; r1_score_TOP5; r3_point_TOP5; 
6,2024-12-25,リアル松本のクリスマスディナー,カルチャー,0.22415130328116417,0.20539677296316106,0.018754530318003115,0.15795056428553447,C,0.887173729773151,0.3333333333,0.0,0.0,0,,
7,2024-12-24,サンタになったChatGPT,AI,0.11018303116471462,0.1417469815301151,-0.031563950365400495,0.2949382225526961,D,0.9128907691793458,0.3333333333,0.0,0.0,0,,
8,2024-12-23,外出すると駅蕎麦が食べたくなる,カルチャー,0.12097298428830461,0.11132611444065255,0.009646869847652062,0.2268088614275661,B,0.921242457107521,0.5,0.0,0.0,0,,
9,2024-12-22,絶対できないけど憧れるパルクール,カルチャー,0.41568855961384565,0.2584767498125715,0.15721180980127414,0.631352351542117,D,0.7303888897745641,0.0,0.0,0.0,0,o1_final_BEST; o1_improved_BEST; o2_tfidf_rate_BEST; ,o1_final_TOP5; o1_improved_TOP5; o2_tfidf_rate_TOP5; 
