name,type,aliases,domains,as_of,role,based_in,affiliation,related_event,related_topic
速水レオ,人物,レオ;Leo Hayami;速水,家族;仕事;ルーツ,2026/5/12,フリージャーナリスト,東京,ATLAS日本版;Frontline Review;季刊SOIL,独立;結婚詐欺被害;シチリアでの脅迫,移民・難民;労働;気候変動;廃棄物;AIと人権;情報環境
エドゥアルド・アヤラ,人物,アヤラ;祖父アヤラ,家族;ルーツ,2002/3/25,父方の祖父・船舶技師,横浜,,,
速水ハビエル,人物,ハビエル;実父,家族;ルーツ,1992/6/20,実父・日系アルゼンチン二世,東京,,両親の離婚,
速水佳代,人物,佳代;母,家族,1994/11/3,母,東京,,両親の離婚;母の再婚,
佐々木徹,人物,徹;継父;マスター,家族,1994/11/3,継父・バーテンダー,墨田,バー Cielo,母の再婚,
佐野源蔵,人物,源蔵;母方の祖父,家族;ルーツ,1993/8/15,母方の祖父・満州からの引揚者,ハルビン,,,
佐野ミツ,人物,ミツ;母方の祖母,家族;ルーツ,1993/8/15,母方の祖母・満州からの引揚者,ハルビン,,,
三宅慧,人物,三宅;慧,仕事;編集,2017/3/25,ATLAS日本版 編集者,東京,ATLAS日本版,独立,情報環境
トム・ドハティ,人物,トム,海外;オーストラリア,2010/2/21,ライフセーバー,バイロンベイ,,オーストラリアでの遭難,
マッテオ・リッツォ,人物,マッテオ,海外;イタリア;取材,2021/10/11,現地コーディネーター,ナポリ,,シチリアでの脅迫,廃棄物;観光
桐生ケンタ,人物,ケンタ,プライベート;スポーツ,2001/8/20,フリースタイルフットボール仲間,東京,,サッカー部退部,
大槻信也,人物,大槻,仕事;IT,2018/7/30,日之出システムズ 元上司,東京,日之出システムズ,独立,情報環境
関口一夫,人物,関口さん,取材;労働,2016/2/14,茨城の農園経営者・取材対象,東京,,,労働
ラフィア・ベグム,人物,ラフィア,取材;労働;海外,2019/11/12,縫製工・取材対象,ダッカ,,,労働
ヌール・ハッダード,人物,ヌール,取材;教育;海外,2024/2/2,難民キャンプの生徒・取材対象,ザアタリ難民キャンプ,,,移民・難民;教育
ミン・ヴァン・タム,人物,ミンさん;ミン,取材;気候;海外,2025/9/12,農民・取材対象,メコンデルタ,,,気候変動
カルロス・メンドーサ,人物,カルロス,取材;労働;海外,2023/9/17,ギグワーカー・取材対象,サンパウロ,,,労働;AIと人権
アンナ・フェルステル,人物,アンナ,取材;政策;海外,2025/3/8,ロビイスト・取材対象,ブリュッセル,,,AIと人権
